monthly_income,employment_status,existing_loans,credit_score,loan_purpose,loan_amount_requested,debt_to_income_ratio,repayment_history,defaulted
20109.723796487855,2,0.0,570.7136903467332,4,692370.7485242172,0.44326130810103476,2,1
17205.894298153118,1,2.928907628618221,373.5747602302685,4,4002768.387217707,0.296478244577514,1,1
178991.0,1,0.0,360.0,5,2279972.0,0.79,0,1
161775.15960932645,2,7.017568462354256,850.0,1,3899064.516611626,0.2885023208624207,3,1
169274.79516131504,2,7.596913087279239,700.1608210328294,3,3775187.5964952963,0.22184420122945553,2,1
33007.11580117654,1,5.050012038990812,639.5184072906201,3,2570804.0131158526,0.19787391749435723,1,1
147028.0,2,2.0,486.0,1,3551365.0,0.34,1,0
118806.3327443397,1,5.259327438728494,697.4647471519464,3,2144952.652844947,0.31098641348900746,2,0
152257.43322437725,1,2.715989232451599,557.110031044324,3,2064079.0532416773,0.39729672558316254,1,0
77261.0,1,6.0,316.0,5,3184734.0,0.42,1,0
162035.02185840672,1,3.6777592321045782,385.39805150664944,4,2868012.8956014705,0.24125979809666984,2,1
130071.30398705992,1,1.0077673569318495,352.25727246468665,2,3383384.218807116,0.24168489336899818,1,0
158088.42511444128,1,2.8781358702251096,576.0511355177007,0,2337464.121717255,0.1944284115265766,1,0
34555.63257701814,0,0.0,653.7165489352121,4,626542.5383103712,0.671179772678937,1,1
73971.36093479095,1,9.023454757765233,814.3030265049211,3,3668895.6859670104,0.30398236478703927,2,1
60319.03365752903,2,5.495928080830841,463.86375906834104,0,2698073.0046708267,0.7126575814588312,2,0
102193.0,1,3.0,826.0,3,573179.0,0.6,1,0
68270.92865400287,1,3.843298407792736,373.2698134171299,3,4515525.861850514,0.5493716908601036,1,1
16460.310539608738,2,7.126593427166818,329.2150556745119,3,4766767.1255586315,0.670473679365852,3,1
74622.25260444067,1,9.754495936067235,689.5152631372957,3,884535.7480620674,0.3993067427508645,1,1
173316.34217002805,1,1.0158163766119024,591.5013865484386,3,4754759.789338931,0.7760007517431426,0,1
103009.89241657732,2,5.040841677408475,516.5647995721984,3,3634155.248109053,0.6520592747392803,0,0
182510.2779458206,2,4.050990568509539,405.56263700150805,2,3776589.6853322075,0.7680343348589362,2,0
167710.13873332675,1,4.756307598422186,464.33789643859114,3,1543887.2054094428,0.3898518510801886,0,1
45020.72110245933,0,2.9721849462694627,704.0196354141938,3,2141918.4521955913,0.24942278387975494,1,0
28422.87656915214,2,2.050604929461109,592.3707582250291,2,480747.62549784215,0.5856082211992596,2,0
59678.0,2,5.0,837.0,3,3621656.0,0.44,1,1
130296.77913933825,1,5.956517485903242,725.9086336394015,2,1979070.7681664878,0.24873282661414403,1,0
21908.349303905823,2,4.944639027886048,314.1834492058679,5,1748766.7768876536,0.10731087655689323,2,1
54360.80644310823,1,7.846921708377987,402.47682276091143,0,2316485.2509955824,0.3413241878163492,0,1
96326.0,1,9.0,695.0,2,1497271.0,0.07,0,1
141166.30739723507,2,6.60417851464106,488.0297308898591,4,1925633.8774705094,0.1122201377890309,2,1
115066.01272946189,1,9.629718409292208,771.9895996044006,2,1133583.6659437418,0.11414136133208143,1,0
64434.39597399369,2,1.0378709724593393,320.64805228741153,2,1160746.8481178405,0.23039288626317858,1,0
185625.27997917775,1,2.1493248439688886,754.9686991381838,5,4131423.1512590884,0.6704660315207784,0,1
86398.02161198446,1,4.025405289657712,659.591480718541,2,1597746.6321916236,0.48206936886056767,2,0
83909.80976761892,1,8.814495935266265,558.6578710714159,3,763079.4406267566,0.2944879925663372,1,1
83673.0,1,5.0,317.0,0,2061982.0,0.51,1,0
95904.5386412938,1,3.0225605777655393,666.1880116590901,2,1968847.2841013365,0.6803006522108633,0,0
144924.24631285243,0,4.786253109574584,784.4070693761635,1,4347203.507406893,0.6880210293701996,2,1
80548.13377832525,1,6.326991465669581,556.0331950685929,2,693877.977235488,0.2930774236350552,2,1
110028.0,1,9.0,774.0,1,641491.0,0.66,2,0
165058.9346878975,2,8.0708771887708,641.7249848661827,4,4340196.472126813,0.6640408744169647,2,0
62779.0,1,7.0,397.0,0,2158584.0,0.18,2,0
100744.21848581878,1,6.596738969716501,762.2566110662501,4,274578.59735857975,0.3324120309355881,1,0
141218.0,1,8.0,607.0,1,4680364.0,0.36,1,0
